,filehash,winner,player_1_race,player_2_race,seconds,food_made_1,food_made_2,food_used_1,food_used_2,minerals_collection_rate_1,minerals_collection_rate_2,minerals_lost_1,minerals_lost_2,minerals_lost_army_1,minerals_lost_army_2,minerals_used_current_1,minerals_used_current_2,minerals_used_current_army_1,minerals_used_current_army_2,minerals_used_current_economy_1,minerals_used_current_economy_2,vespene_collection_rate_1,vespene_collection_rate_2,vespene_lost_1,vespene_lost_2,vespene_lost_army_1,vespene_lost_army_2,vespene_used_current_1,vespene_used_current_2,vespene_used_current_army_1,vespene_used_current_army_2,vespene_used_current_economy_1,vespene_used_current_economy_2,vespene_used_current_technology_1,vespene_used_current_technology_2,workers_active_count_1,workers_active_count_2
0,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,0.0,15.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
1,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,10.0,15.0,15.0,13.0,13.0,251.0,209.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0
2,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,20.0,15.0,15.0,13.0,14.0,643.0,671.0,0.0,0.0,0.0,0.0,1050.0,1050.0,0.0,0.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
3,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,30.0,15.0,15.0,14.0,14.0,727.0,727.0,0.0,0.0,0.0,0.0,1050.0,1050.0,0.0,0.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0
4,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,40.0,15.0,15.0,14.0,15.0,727.0,727.0,0.0,0.0,0.0,0.0,1050.0,1100.0,0.0,0.0,1050.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14.0
5,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,50.0,15.0,15.0,15.0,15.0,671.0,755.0,0.0,0.0,0.0,0.0,1100.0,1100.0,0.0,0.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
6,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,60.0,15.0,23.0,15.0,16.0,727.0,811.0,0.0,0.0,0.0,0.0,1100.0,1250.0,0.0,0.0,1100.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0
7,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,70.0,15.0,23.0,15.0,17.0,727.0,811.0,0.0,0.0,0.0,0.0,1150.0,1300.0,0.0,0.0,1150.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,16.0
8,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,80.0,23.0,23.0,16.0,18.0,783.0,755.0,0.0,0.0,0.0,0.0,1250.0,1350.0,0.0,0.0,1250.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0
9,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,90.0,23.0,23.0,16.0,18.0,783.0,839.0,0.0,0.0,0.0,0.0,1250.0,1350.0,0.0,0.0,1250.0,1350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0
10,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,100.0,23.0,23.0,17.0,19.0,755.0,839.0,0.0,0.0,0.0,0.0,1375.0,1475.0,0.0,0.0,1375.0,1475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0
11,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,110.0,23.0,23.0,18.0,20.0,671.0,839.0,0.0,0.0,0.0,0.0,1500.0,1525.0,0.0,0.0,1500.0,1525.0,134.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0
12,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,120.0,23.0,31.0,18.0,21.0,559.0,811.0,0.0,0.0,0.0,0.0,1500.0,1675.0,0.0,0.0,1500.0,1675.0,223.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,20.0
13,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,130.0,23.0,31.0,19.0,21.0,671.0,783.0,0.0,0.0,0.0,0.0,1550.0,1725.0,0.0,0.0,1550.0,1725.0,246.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0
14,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,140.0,31.0,31.0,20.0,23.0,643.0,839.0,0.0,0.0,0.0,0.0,1700.0,1875.0,0.0,0.0,1700.0,1725.0,246.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,21.0
15,1b017c9c244e1c635a717f5a69b45afee739737b6ed594c00476088fdfe1ce92,2,Protoss,Protoss,150.0,31.0,31.0,20.0,24.0,727.0,783.0,0.0,0.0,0.0,0.0,1750.0,1875.0,0.0,0.0,1750.0,1725.0,246.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0
